Station,Lat,Long
Nash Hernandez @ RBJ South,30.25094,-97.73166
Nash Hernandez/East @ RBJ South,30.25094,-97.73166
Nueces & 26th,30.29058,-97.7429
Nueces & 3rd,30.26686,-97.74945
Nueces @ 3rd,30.26686,-97.74945
One Texas Center,30.35129,-97.7512
Palmer Auditorium,30.39123,-97.64428
Pease Park,30.28118,-97.75138
Pfluger Bridge @ W 2nd Street,30.26539,-97.74801
Plaza Saltillo,30.26396,-97.73363
Rainey @ River St,30.25792,-97.73911
Rainey St @ Cummings,30.25578,-97.73991
Rainey/Cummings,30.25578,-97.73991
Rainey/Davis,30.26011,-97.73829
Rainey/Driskill,30.26092,-97.738
Re-branding,,
Red River & 8th Street,30.26836,-97.73651
Red River @ LBJ Library,30.26182,-97.73889
Red River/Cesar Chavez @ The Fairmont,30.26182,-97.73889
Repair Shop,,
Republic Square,30.26811,-97.74663
Republic Square @ 5th & Guadalupe,30.26811,-97.74663
Republic Square @ Federal Courthouse Plaza,30.26719,-97.74695
Republic Square @ Guadalupe & 4th St.,30.26719,-97.74695
Rio Grande & 28th,30.29342,-97.74415
Riverside @ S. Lamar,30.26458,-97.75716
Riverside/South Lamar,30.26458,-97.75716
Rosewood & Angelina,30.26887,-97.72432
Rosewood & Chicon,30.27176,-97.71949
Rosewood/Angelina,30.26887,-97.72432
Rosewood/Chicon,30.27176,-97.71949
San Jacinto & 8th Street,30.26924,-97.73968
Shop,,
South 1st/Riverside @ Long Center,30.2057,-97.78289
South Congress & Academy,30.25218,-97.7487
South Congress & Barton Springs at the Austin American-Statesman,30.25891,-97.74624
South Congress & Elizabeth,30.24892,-97.74992
South Congress & James,30.25116,-97.74908
South Congress @ Bouldin Creek,30.25026,-97.74941
South Congress/Academy,30.25218,-97.7487
South Congress/Barton Springs @ The Austin American-Statesman,30.25891,-97.74624
South Congress/Elizabeth,30.24892,-97.74992
South Congress/James,30.25116,-97.74908
South Congress/Mary,30.24519,-97.75131
State Capitol @ 14th & Colorado,30.27633,-97.7412
State Capitol Visitors Garage @ San Jacinto & 12th,30.27329,-97.73821
State Parking Garage @ Brazos & 18th,30.27924,-97.73717
Sterzing at Barton Springs,30.26386,-97.76365
Sterzing/Barton Springs,30.26386,-97.76365
Stolen,,
Toomey Rd @ South Lamar,30.26291,-97.75765
Trinity & 6th Street,30.26709,-97.73933
UT West Mall @ Guadalupe,30.31449,-97.7324
Veterans/Atlanta @ MoPac Ped Bridge,30.27566,-97.77154
Waller & 6th St.,30.0973,-96.0738
West & 6th St.,30.26933,-97.74736
Zilker Park,30.46794,-97.80012
Zilker Park West,30.19559,-97.88624
Zilker Park at Barton Springs & William Barton Drive,30.26074,-97.75784
cesar Chavez/Congress,30.2634,-97.74454
